
2015-04-18 20:58:20,656INFO [Test.one(Test.java:27)] into one method
2015-04-19 11:51:54,282INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1857 document
 
2015-04-19 11:52:03,293INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1661 document
 
2015-04-19 11:52:12,058INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1496 document
 
2015-04-19 11:52:21,428INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1325 document
 
2015-04-19 11:52:30,025INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1320 document
 
2015-04-19 11:52:38,367INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1333 document
 
